indication_mesh_id,indication_mesh_term,n_total,n_included,n_linked,n_A,n_B,included_A,included_B,retention_rate,linkage_rate,retention_A,retention_B
D055623,"Keratosis, Actinic",1,1,1,0,1,0,1,1.0,1.0,,1.0
D055728,Primary Myelofibrosis,1,1,1,1,0,1,0,1.0,1.0,1.0,
D056587,Cryopyrin-Associated Periodic Syndromes,1,0,0,0,1,0,0,0.0,0.0,,0.0
D058496,Smith-Magenis Syndrome,1,1,1,1,0,1,0,1.0,1.0,1.0,
D061205,Vascular Calcification,1,0,0,0,1,0,0,0.0,0.0,,0.0
D009506,Nevus,1,0,0,0,1,0,0,0.0,0.0,,0.0
D010022,Osteopetrosis,1,0,0,0,1,0,0,0.0,0.0,,0.0
D010493,Pericarditis,1,1,1,0,1,0,1,1.0,1.0,,1.0
D010787,Photosensitivity Disorders,1,1,1,0,1,0,1,1.0,1.0,,1.0
D010916,Pityriasis Rubra Pilaris,1,1,1,0,1,0,1,1.0,1.0,,1.0
D011085,Polycystic Ovary Syndrome,1,1,1,1,0,1,0,1.0,1.0,1.0,
D011087,Polycythemia Vera,1,1,1,1,0,1,0,1.0,1.0,1.0,
D011164,Porphyrias,1,0,0,0,1,0,0,0.0,0.0,,0.0
D011470,Prostatic Hyperplasia,1,1,1,1,0,1,0,1.0,1.0,1.0,
D009134,"Muscular Atrophy, Spinal",1,0,0,1,0,0,0,0.0,0.0,0.0,
D009196,Myeloproliferative Disorders,1,1,1,0,1,0,1,1.0,1.0,,1.0
D009221,Myositis Ossificans,1,0,0,0,1,0,0,0.0,0.0,,0.0
D009293,Opioid-Related Disorders,1,1,1,1,0,1,0,1.0,1.0,1.0,
D009303,Nasopharyngeal Neoplasms,1,1,1,0,1,0,1,1.0,1.0,,1.0
D009394,"Nephritis, Hereditary",1,0,0,0,1,0,0,0.0,0.0,,0.0
D009437,Neuralgia,1,1,1,0,1,0,1,1.0,1.0,,1.0
D011628,"Puberty, Delayed",1,1,1,1,0,1,0,1.0,1.0,1.0,
D011655,Pulmonary Embolism,1,1,1,1,0,1,0,1.0,1.0,1.0,
D011697,"Purpura, Thrombotic Thrombocytopenic",1,0,0,0,1,0,0,0.0,0.0,,0.0
D012164,Retinal Diseases,1,1,1,0,1,0,1,1.0,1.0,,1.0
D012170,Retinal Vein Occlusion,1,1,1,0,1,0,1,1.0,1.0,,1.0
D012208,Rhabdomyosarcoma,1,1,1,0,1,0,1,1.0,1.0,,1.0
D012220,Rhinitis,1,1,1,0,1,0,1,1.0,1.0,,1.0
D012497,Sandhoff Disease,1,0,0,0,1,0,0,0.0,0.0,,0.0
D012507,Sarcoidosis,1,1,1,0,1,0,1,1.0,1.0,,1.0
D008305,Malignant Hyperthermia,1,0,0,1,0,0,0,0.0,0.0,0.0,
D008363,alpha-Mannosidosis,1,0,0,1,0,0,0,0.0,0.0,0.0,
D008415,Mastocytosis,1,0,0,1,0,0,0,0.0,0.0,0.0,
D008659,Metabolic Diseases,1,1,1,0,1,0,1,1.0,1.0,,1.0
D009084,Mucopolysaccharidosis III,1,0,0,0,1,0,0,0.0,0.0,,0.0
D009085,Mucopolysaccharidosis IV,1,0,0,1,0,0,0,0.0,0.0,0.0,
D007890,Leiomyosarcoma,1,1,1,0,1,0,1,1.0,1.0,,1.0
