ti_uid,ancestry,allocated_n,total_n,p
APOC3-D006937,European,2958756.0,3462173.0,0.854595076560299
APOC3-D006937,Hispanic/Latin American,46103.0,3462173.0,0.013316203436396737
APOC3-D006937,Other Asian,10730.0,3462173.0,0.0030992096582117645
APOC3-D006937,South Asian,8851.0,3462173.0,0.0025564869230971414
APOC3-D006949,African,88346.0,3462173.0,0.025517500136474983
APOC3-D006949,East Asian,349387.0,3462173.0,0.10091552328552039
APOC3-D006949,European,2958756.0,3462173.0,0.854595076560299
APOC3-D006949,Hispanic/Latin American,46103.0,3462173.0,0.013316203436396737
APOC3-D006949,Other Asian,10730.0,3462173.0,0.0030992096582117645
APOC3-D006949,South Asian,8851.0,3462173.0,0.0025564869230971414
APOC3-D015228,African,88346.0,3462173.0,0.025517500136474983
APOC3-D015228,East Asian,349387.0,3462173.0,0.10091552328552039
APOC3-D015228,European,2958756.0,3462173.0,0.854595076560299
APOC3-D015228,Hispanic/Latin American,46103.0,3462173.0,0.013316203436396737
APOC3-D015228,Other Asian,10730.0,3462173.0,0.0030992096582117645
APOC3-D015228,South Asian,8851.0,3462173.0,0.0025564869230971414
APOC3-D050171,African,113810.0,4529004.0,0.02512914539267353
APOC3-D050171,East Asian,528026.0,4529004.0,0.1165876647492473
APOC3-D050171,European,3774966.0,4529004.0,0.8335090894156861
APOC3-D050171,Hispanic/Latin American,79722.0,4529004.0,0.017602545725285294
APOC3-D050171,Other Asian,21460.0,4529004.0,0.0047383486523747825
APOC3-D050171,South Asian,11020.0,4529004.0,0.0024332060647329966
APOE-D000544,East Asian,4247.0,1948245.0,0.002179910637522488
APOE-D000544,European,1938698.0,1948245.0,0.995099692287161
APOE-D000544,Hispanic/Latin American,5300.0,1948245.0,0.002720397075316503
APOE-D006938,African,191183.8,7614822.999999999,0.025106794997073474
APOE-D006938,East Asian,1275808.8,7614822.999999999,0.16754280434358096
APOE-D006938,European,5949561.8,7614822.999999999,0.7813132097751977
APOE-D006938,Hispanic/Latin American,131460.8,7614822.999999999,0.017263802454764873
APOE-D006938,Native American,1812.0,7614822.999999999,0.000237956942663014
APOE-D006938,Oceanian,15039.0,7614822.999999999,0.0019749638304133927
APOE-D006938,Other Asian,15478.0,7614822.999999999,0.0020326145466545973
APOE-D006938,South Asian,34478.8,7614822.999999999,0.0045278531096520575
APOL1-D005923,African,1815.0,3706.0,0.48974635725849974
APOL1-D005923,European,1891.0,3706.0,0.5102536427415003
APOL1-D007676,African,9013.0,32799.0,0.27479496326107505
APOL1-D007676,East Asian,3648.0,32799.0,0.11122290313729077
APOL1-D007676,Hispanic/Latin American,16134.0,32799.0,0.4919052410134455
APOL1-D007676,Native American,50.0,32799.0,0.0015244367206317265
APOL1-D007676,Oceanian,2988.0,32799.0,0.09110033842495198
APOL1-D007676,Other,966.0,32799.0,0.029452117442604956
APOL1-D051437,African,9013.0,32799.0,0.27479496326107505
APOL1-D051437,East Asian,3648.0,32799.0,0.11122290313729077
APOL1-D051437,Hispanic/Latin American,16134.0,32799.0,0.4919052410134455
APOL1-D051437,Native American,50.0,32799.0,0.0015244367206317265
APOL1-D051437,Oceanian,2988.0,32799.0,0.09110033842495198
APOL1-D051437,Other,966.0,32799.0,0.029452117442604956
APP-D000544,European,467623.0,467623.0,1.0
APP-D003704,European,467623.0,467623.0,1.0
APP-D013494,European,467623.0,467623.0,1.0
AR-D011471,African,21354.0,234253.0,0.09115785069988432
AR-D011471,East Asian,27420.0,234253.0,0.11705292995180425
AR-D011471,European,177526.0,234253.0,0.7578387469957696
AR-D011471,Hispanic/Latin American,7953.0,234253.0,0.03395047235254191
AVPR1A-D018805,European,418642.0,418642.0,1.0
AXL-D005922,East Asian,175359.0,653143.0,0.26848484941276257
AXL-D005922,European,477784.0,653143.0,0.7315151505872374
BCL11A-D000755,South Asian,792.0,792.0,1.0
BCL11A-D013789,South Asian,792.0,792.0,1.0
BCL2-D000740,European,3978720.0,3978720.0,1.0
BCL2-D008224,European,17867.0,17867.0,1.0
BCL2-D015451,European,50992.0,50992.0,1.0
BCL2-D054198,European,50992.0,50992.0,1.0
C3-D008107,European,1190417.0,1190417.0,1.0
C3-D008181,East Asian,208370.0,208370.0,1.0
C5-D012859,European,11727.0,14470.0,0.8104353835521769
C5-D012859,Other,2743.0,14470.0,0.18956461644782308
C9orf72-D000690,East Asian,4084.0,233151.0,0.017516545071648845
C9orf72-D000690,European,229067.0,233151.0,0.9824834549283512
C9orf72-D057180,East Asian,4084.0,233151.0,0.017516545071648845
C9orf72-D057180,European,229067.0,233151.0,0.9824834549283512
CACNA1C-D006973,European,757601.0,757601.0,1.0
CACNA2D1-D001008,European,373121.0,373121.0,1.0
CALCA-D009765,European,219872.0,219872.0,1.0
CALCR-D003920,European,437749.0,437749.0,1.0
CALCR-D003924,African,56092.0,1840822.0,0.030471169944731213
CALCR-D003924,East Asian,541683.5,1840822.0,0.29426174828419044
CALCR-D003924,European,1114458.0,1840822.0,0.6054132338705209
CALCR-D003924,Hispanic/Latin American,20445.0,1840822.0,0.011106451357056794
CALCR-D003924,South Asian,108143.5,1840822.0,0.058747396543500675
CALCR-D009765,African,44270.0,5018255.0,0.008821791638727008
CALCR-D009765,East Asian,349676.0,5018255.0,0.06968079541593641
CALCR-D009765,European,4582601.0,5018255.0,0.9131861573395533
CALCR-D009765,Hispanic/Latin American,12109.0,5018255.0,0.0024129901728788196
CALCR-D009765,Other Asian,1650.0,5018255.0,0.00032879955283260815
CALCR-D009765,South Asian,27949.0,5018255.0,0.005569465880071857
CALCRL-D008593,East Asian,43861.0,406299.0,0.1079525177270926
CALCRL-D008593,European,362438.0,406299.0,0.8920474822729074
CASP1-D007249,European,21758.0,21758.0,1.0
CASP8-D001943,East Asian,243974.0,1399479.0,0.17433201927288655
CASP8-D001943,European,1143863.0,1399479.0,0.8173491706556512
CASP8-D001943,Other Asian,11642.0,1399479.0,0.008318810071462308
CASP8-D008107,African,6015.0,833265.0,0.0072185919245378125
CASP8-D008107,East Asian,133471.0,833265.0,0.1601783346234391
CASP8-D008107,European,686443.0,833265.0,0.8237991515304255
CASP8-D008107,South Asian,7336.0,833265.0,0.008803921921597572
CASP8-D008175,East Asian,53310.0,108950.0,0.4893070215695273
