replicate,estimator,n_valid_comparisons,mean_slope,median_slope
100,naive,104,0.8772231234440141,0.9131068980190093
100,fiqt,104,0.8939075727653297,0.9443150534688378
100,deming,104,0.9624134215207939,0.9866236938840305
101,naive,104,0.9897029815132694,0.9496560733706791
101,fiqt,104,1.0078940030359835,0.9536772733601222
101,deming,104,0.9514673492970922,0.9479895847229629
102,naive,104,1.003992867622838,0.9490578274382273
102,fiqt,104,1.0214311969562526,0.9923090670983535
102,deming,104,1.026917544233188,1.0364871906667876
103,naive,104,0.8855010218016139,0.943535697095448
103,fiqt,104,0.9014682782905665,0.9477149770112302
103,deming,104,0.9394118963968049,0.9720219205884014
104,naive,104,1.003336826424172,0.9650297681571456
104,fiqt,104,1.0185795642756923,0.9742995528085165
104,deming,104,0.9523283148085321,0.977972742800891
105,naive,104,1.030571754099348,1.0292373117302895
105,fiqt,104,1.0479732203697196,1.053777462469966
105,deming,104,1.0298221684715994,1.0290452453287093
106,naive,104,0.9860699673945681,1.0089950526745124
106,fiqt,104,1.0019106711172676,1.0433194701729378
106,deming,104,0.9223579187331672,0.969706115460936
107,naive,104,1.0457973949283839,1.0042130604763595
107,fiqt,104,1.0626858391616554,1.0290042553602827
107,deming,104,0.9731718076803054,1.0117136538263254
108,naive,104,1.0723863824080146,1.0167046309475014
108,fiqt,104,1.0904288231900496,1.045911374828163
108,deming,104,1.0347751748266307,1.013341540474149
109,naive,104,1.0427605523921573,1.0247206696435016
109,fiqt,104,1.060343325635184,1.0445988122072074
109,deming,104,1.0673301949910687,1.0041351107068512
110,naive,104,1.0096027318168752,1.017340846510101
110,fiqt,104,1.026609121554498,1.0364895456116079
110,deming,104,0.9819783103637664,0.9981184177297242
111,naive,104,1.0879841022008703,1.020293418829893
111,fiqt,104,1.1054096222021792,1.037050256477511
111,deming,104,0.992318984098872,1.0070352852007638
112,naive,104,1.026707544922643,0.937509565689334
112,fiqt,104,1.0429554852183878,0.9441597327634214
112,deming,104,1.083865892050917,1.0278128579894354
113,naive,104,0.972795428049268,0.9356012759214123
113,fiqt,104,0.9901897395381212,0.9570273360357988
113,deming,104,1.002759452550016,0.9795229805830139
114,naive,104,1.0827486852909098,1.0402505488554834
114,fiqt,104,1.100746044265541,1.0751036072989553
114,deming,104,0.9631948184427178,1.0014577632217474
115,naive,104,1.018576516093441,0.9987491052221733
115,fiqt,104,1.0366237103358982,1.0532518726193056
115,deming,104,0.9847344540499727,0.9936944022166534
116,naive,104,0.8614960534402647,0.9899997409192445
116,fiqt,104,0.8768974687404459,1.0007309358491698
116,deming,104,1.0437551076377976,1.0242031630501462
117,naive,104,0.9848177645732014,1.023410415328256
117,fiqt,104,1.0017698929671903,1.0480588083075224
117,deming,104,1.0463713959762777,1.0060131657419809
118,naive,104,0.9490049498137239,0.9757407046291249
118,fiqt,104,0.9667109756954315,1.0137936929497395
118,deming,104,0.9568304054939225,1.0144978803064701
119,naive,104,0.9692310425187534,1.0255759112220015
119,fiqt,104,0.9847679310657458,1.059466325520748
119,deming,104,0.9671500168454454,1.009617365424209
120,naive,104,0.8729624585822242,0.942562030674297
120,fiqt,104,0.8895649030724785,0.9753476293286916
120,deming,104,0.9951507228639916,0.9809017181618429
121,naive,104,1.1035799048666275,1.0112501521594468
121,fiqt,104,1.1229464642050213,1.0449071094483515
121,deming,104,1.045584013588868,1.0343103440688521
122,naive,104,0.953193260353274,0.990804089587469
122,fiqt,104,0.9689246827792315,1.0015537057800252
122,deming,104,0.9689489867826853,1.0013913009247528
123,naive,104,0.9286938331191943,1.0184599112497474
123,fiqt,104,0.9434755583544077,1.0590535304417839
123,deming,104,1.0184912470292433,1.0053641200737862
124,naive,104,1.1612614554940812,1.0158407337722601
124,fiqt,104,1.1797089004587056,1.0541007650162613
124,deming,104,1.0382987580256342,0.986899801422123
125,naive,104,0.9893548183102734,0.9656135629381147
125,fiqt,104,1.00612745480308,0.9713342383544787
125,deming,104,0.9660484250956407,0.9795502454867645
126,naive,104,0.9989657883520962,0.9738055746218914
126,fiqt,104,1.0169865223659775,0.9908428412342207
126,deming,104,1.0209006243684593,1.0190643849483427
127,naive,104,0.8983717358902723,0.9501326610863824
127,fiqt,104,0.9154076453112899,0.9638171183947479
127,deming,104,0.9799044978746058,1.0245510164357086
128,naive,104,0.9919770608892573,0.9730098892557354
128,fiqt,104,1.0090736649315213,1.001390463144872
128,deming,104,1.023330665743336,1.0039225430821126
129,naive,104,1.0160385840566024,0.987063249567683
129,fiqt,104,1.0333342717733087,1.0181948346213918
129,deming,104,0.9751198084383432,0.9975771423607034
130,naive,104,1.0425944149474087,0.9753433322872
130,fiqt,104,1.0601225283645188,1.0108941707296526
130,deming,104,1.0155885682189274,0.9850048222862174
131,naive,104,0.9725297159380555,1.0107745658696765
131,fiqt,104,0.9898114044545887,1.0410383389629687
131,deming,104,0.9864785154307499,1.0435553639366693
132,naive,104,0.8827877824105071,0.9504159987934209
132,fiqt,104,0.9012266981856925,0.9560262457142574
132,deming,104,0.913439763065396,0.9577412092319664
133,naive,104,0.9532368652508821,0.9622312923400272
133,fiqt,104,0.9684508443600651,0.9750652190409376
