exposure,model_id,n,n_A,n_B,exposure_sd,observed_beta,observed_cluster_se,observed_or_per_unit,observed_or_per_sd,target_power,alpha,mde_beta_per_unit,mde_or_per_unit,mde_beta_per_sd,mde_or_per_sd,effect_or_per_sd,approximate_power
has_replication,M3,790,157,633,0.4996750159139572,0.1808180347057594,0.3248522161998165,1.198197129161857,1.094557590152129,,0.05,,,,,1.5,0.7047033956686742
has_replication,M4,790,157,633,0.4996750159139572,0.4130078468163635,0.3280878399045062,1.5113568852274029,1.229207561024656,0.8,0.05,0.9191660425190786,2.5071986207883037,0.45928430692328964,1.582940679808137,,
has_replication,M4,790,157,633,0.4996750159139572,0.4130078468163635,0.3280878399045062,1.5113568852274029,1.229207561024656,,0.05,,,,,1.1,0.08953315492715541
has_replication,M4,790,157,633,0.4996750159139572,0.4130078468163635,0.3280878399045062,1.5113568852274029,1.229207561024656,,0.05,,,,,1.2,0.19933133647728063
has_replication,M4,790,157,633,0.4996750159139572,0.4130078468163635,0.3280878399045062,1.5113568852274029,1.229207561024656,,0.05,,,,,1.25,0.27509736971050447
has_replication,M4,790,157,633,0.4996750159139572,0.4130078468163635,0.3280878399045062,1.5113568852274029,1.229207561024656,,0.05,,,,,1.5,0.6961443441300612
has_african,M1,790,157,633,0.4574339303603788,0.5857435103047248,0.24732161137312406,1.796326076199902,1.3072673368849486,0.8,0.05,0.6928925705428246,1.999490844786518,0.3169525718609103,1.372937454512718,,
has_african,M1,790,157,633,0.4574339303603788,0.5857435103047248,0.24732161137312406,1.796326076199902,1.3072673368849486,,0.05,,,,,1.1,0.1344252796725507
has_african,M1,790,157,633,0.4574339303603788,0.5857435103047248,0.24732161137312406,1.796326076199902,1.3072673368849486,,0.05,,,,,1.2,0.3639473876812852
has_african,M1,790,157,633,0.4574339303603788,0.5857435103047248,0.24732161137312406,1.796326076199902,1.3072673368849486,,0.05,,,,,1.25,0.5050011967796006
has_african,M1,790,157,633,0.4574339303603788,0.5857435103047248,0.24732161137312406,1.796326076199902,1.3072673368849486,,0.05,,,,,1.5,0.947811588987894
has_african,M2,790,157,633,0.4574339303603788,0.35840361344783084,0.2957730377715984,1.4310430921708142,1.1781506620810862,0.8,0.05,0.8286333705372788,2.290186763919362,0.3790450195126356,1.4608888027649363,,
has_african,M2,790,157,633,0.4574339303603788,0.35840361344783084,0.2957730377715984,1.4310430921708142,1.1781506620810862,,0.05,,,,,1.1,0.1085028415296464
has_african,M2,790,157,633,0.4574339303603788,0.35840361344783084,0.2957730377715984,1.4310430921708142,1.1781506620810862,,0.05,,,,,1.2,0.2706088903734518
has_african,M2,790,157,633,0.4574339303603788,0.35840361344783084,0.2957730377715984,1.4310430921708142,1.1781506620810862,,0.05,,,,,1.25,0.3781782930429095
has_african,M2,790,157,633,0.4574339303603788,0.35840361344783084,0.2957730377715984,1.4310430921708142,1.1781506620810862,,0.05,,,,,1.5,0.8501083183217242
has_african,M3,790,157,633,0.4574339303603788,0.3444741865964946,0.30064402874295704,1.4112476716013758,1.1706675961503434,0.8,0.05,0.8422798668401988,2.321654009616534,0.38528738995212863,1.4700367345263616,,
has_african,M3,790,157,633,0.4574339303603788,0.3444741865964946,0.30064402874295704,1.4112476716013758,1.1706675961503434,,0.05,,,,,1.1,0.10658019018248965
has_african,M3,790,157,633,0.4574339303603788,0.3444741865964946,0.30064402874295704,1.4112476716013758,1.1706675961503434,,0.05,,,,,1.2,0.26347468281608843
has_african,M3,790,157,633,0.4574339303603788,0.3444741865964946,0.30064402874295704,1.4112476716013758,1.1706675961503434,,0.05,,,,,1.25,0.36808001460828954
has_african,M3,790,157,633,0.4574339303603788,0.3444741865964946,0.30064402874295704,1.4112476716013758,1.1706675961503434,,0.05,,,,,1.5,0.8385078273504913
has_african,M4,790,157,633,0.4574339303603788,0.3254171626002886,0.3231862007125564,1.3846081322483696,1.1605068527293505,0.8,0.05,0.9054336826143888,2.473004189451295,0.41417608811897166,1.513123546506117,,
has_african,M4,790,157,633,0.4574339303603788,0.3254171626002886,0.3231862007125564,1.3846081322483696,1.1605068527293505,,0.05,,,,,1.1,0.09880891851879636
has_african,M4,790,157,633,0.4574339303603788,0.3254171626002886,0.3231862007125564,1.3846081322483696,1.1605068527293505,,0.05,,,,,1.2,0.2344090151629017
has_african,M4,790,157,633,0.4574339303603788,0.3254171626002886,0.3231862007125564,1.3846081322483696,1.1605068527293505,,0.05,,,,,1.25,0.3264112742340486
has_african,M4,790,157,633,0.4574339303603788,0.3254171626002886,0.3231862007125564,1.3846081322483696,1.1605068527293505,,0.05,,,,,1.5,0.7830990751520815
has_east_asian,M1,790,157,633,0.500316756446089,0.3032799436604577,0.22732111324647392,1.3542935372704528,1.1638529825805946,0.8,0.05,0.6368594706363054,1.890534268057009,0.31863146466072956,1.375244405339388,,
has_east_asian,M1,790,157,633,0.500316756446089,0.3032799436604577,0.22732111324647392,1.3542935372704528,1.1638529825805946,,0.05,,,,,1.1,0.13351429454561492
has_east_asian,M1,790,157,633,0.500316756446089,0.3032799436604577,0.22732111324647392,1.3542935372704528,1.1638529825805946,,0.05,,,,,1.2,0.3607698639494705
has_east_asian,M1,790,157,633,0.500316756446089,0.3032799436604577,0.22732111324647392,1.3542935372704528,1.1638529825805946,,0.05,,,,,1.25,0.5008570947621022
has_east_asian,M1,790,157,633,0.500316756446089,0.3032799436604577,0.22732111324647392,1.3542935372704528,1.1638529825805946,,0.05,,,,,1.5,0.9457653233375904
has_east_asian,M2,790,157,633,0.500316756446089,-0.007087144780997499,0.25696372020066904,0.9929379098061405,0.99646046169726,0.8,0.05,0.7199057601055111,2.0542396101974685,0.3601809148428456,1.4335887485841012,,
has_east_asian,M2,790,157,633,0.500316756446089,-0.007087144780997499,0.25696372020066904,0.9929379098061405,0.99646046169726,,0.05,,,,,1.1,0.11494841019793545
has_east_asian,M2,790,157,633,0.500316756446089,-0.007087144780997499,0.25696372020066904,0.9929379098061405,0.99646046169726,,0.05,,,,,1.2,0.29433712253379696
has_east_asian,M2,790,157,633,0.500316756446089,-0.007087144780997499,0.25696372020066904,0.9929379098061405,0.99646046169726,,0.05,,,,,1.25,0.4113744509131464
has_east_asian,M2,790,157,633,0.500316756446089,-0.007087144780997499,0.25696372020066904,0.9929379098061405,0.99646046169726,,0.05,,,,,1.5,0.883732619340379
has_east_asian,M3,790,157,633,0.500316756446089,0.003952096057465122,0.2554723931512338,1.003959915887268,1.001979256027127,0.8,0.05,0.7157276802884414,2.04567473796187,0.35809055150059643,1.4305951571531657,,
has_east_asian,M3,790,157,633,0.500316756446089,0.003952096057465122,0.2554723931512338,1.003959915887268,1.001979256027127,,0.05,,,,,1.1,0.1157275622500038
has_east_asian,M3,790,157,633,0.500316756446089,0.003952096057465122,0.2554723931512338,1.003959915887268,1.001979256027127,,0.05,,,,,1.2,0.29718442188508887
has_east_asian,M3,790,157,633,0.500316756446089,0.003952096057465122,0.2554723931512338,1.003959915887268,1.001979256027127,,0.05,,,,,1.25,0.41531626195887317
has_east_asian,M3,790,157,633,0.500316756446089,0.003952096057465122,0.2554723931512338,1.003959915887268,1.001979256027127,,0.05,,,,,1.5,0.8872945721228569
has_east_asian,M4,790,157,633,0.500316756446089,0.10162298400952996,0.2902731811903634,1.1069660491439486,1.0521584088558842,0.8,0.05,0.8132250536375494,2.2551693132959563,0.4068701210966354,1.502109000722469,,
has_east_asian,M4,790,157,633,0.500316756446089,0.10162298400952996,0.2902731811903634,1.1069660491439486,1.0521584088558842,,0.05,,,,,1.1,0.10061538805106651
has_east_asian,M4,790,157,633,0.500316756446089,0.10162298400952996,0.2902731811903634,1.1069660491439486,1.0521584088558842,,0.05,,,,,1.2,0.2411957201184769
has_east_asian,M4,790,157,633,0.500316756446089,0.10162298400952996,0.2902731811903634,1.1069660491439486,1.0521584088558842,,0.05,,,,,1.25,0.3362138811063663
has_east_asian,M4,790,157,633,0.500316756446089,0.10162298400952996,0.2902731811903634,1.1069660491439486,1.0521584088558842,,0.05,,,,,1.5,0.7972815029383618
