margin_or_per_sd,lower_or_bound,upper_or_bound,beta_per_sd,se_per_sd,or_per_sd,ci90_or_low,ci90_or_high,p_lower,p_upper,p_tost,passes_alpha_0_05,exposure,model_id,n,n_A,n_B,exposure_sd,margin_role,formal_claim_allowed
1.2,0.8333333333333334,1.2,0.050843681740020796,0.14522853649645048,1.0521584088558842,0.828584874944753,1.3360578388544195,0.05419128338774237,0.18264871436000152,0.18264871436000152,False,has_east_asian,M4,790,157,633,0.500316756446089,descriptive_reference,False
1.25,0.8,1.25,0.050843681740020796,0.14522853649645048,1.0521584088558842,0.828584874944753,1.3360578388544195,0.02960750154509606,0.11773118854173292,0.11773118854173292,False,has_east_asian,M4,790,157,633,0.500316756446089,descriptive_reference,False
1.2,0.8333333333333334,1.2,0.2106945155949658,0.10187625512092066,1.234535166210928,1.044066294432952,1.4597512483047765,5.7211029074077935e-05,0.6096873062077298,0.6096873062077298,False,has_south_asian,M1,790,157,633,0.424544182519218,descriptive_reference,False
1.25,0.8,1.25,0.2106945155949658,0.10187625512092066,1.234535166210928,1.044066294432952,1.4597512483047765,1.0291048976873718e-05,0.4513712563903004,0.4513712563903004,False,has_south_asian,M1,790,157,633,0.424544182519218,descriptive_reference,False
1.2,0.8333333333333334,1.2,0.09891591027118894,0.09942455174118049,1.1039734628265252,0.9374208754041554,1.3001176297676744,0.0023372241463130994,0.20076725759884828,0.20076725759884828,False,has_south_asian,M2,790,157,633,0.424544182519218,descriptive_reference,False
1.25,0.8,1.25,0.09891591027118894,0.09942455174118049,1.1039734628265252,0.9374208754041554,1.3001176297676744,0.0005992544593107496,0.10574725980669086,0.10574725980669086,False,has_south_asian,M2,790,157,633,0.424544182519218,descriptive_reference,False
1.2,0.8333333333333334,1.2,0.10103774853798156,0.10002900750943718,1.1063184028774589,0.9384785045524564,1.3041752183008246,0.002307319159810861,0.20822303706079598,0.20822303706079598,False,has_south_asian,M3,790,157,633,0.424544182519218,descriptive_reference,False
1.25,0.8,1.25,0.10103774853798156,0.10002900750943718,1.1063184028774589,0.9384785045524564,1.3041752183008246,0.0005958215059772565,0.11109906924950491,0.11109906924950491,False,has_south_asian,M3,790,157,633,0.424544182519218,descriptive_reference,False
1.2,0.8333333333333334,1.2,0.03661362201812017,0.12804325744435285,1.037292156550509,0.8402979107244232,1.2804685151645858,0.04364650737703746,0.12756887063992778,0.12756887063992778,False,has_south_asian,M4,790,157,633,0.424544182519218,descriptive_reference,False
1.25,0.8,1.25,0.03661362201812017,0.12804325744435285,1.037292156550509,0.8402979107244232,1.2804685151645858,0.021246092760719093,0.07258955903747177,0.07258955903747177,False,has_south_asian,M4,790,157,633,0.424544182519218,descriptive_reference,False
