==============================================================================
STEP 15E — CROSS-ANCESTRY COLOCALIZATION
==============================================================================
Primary comparisons: 538
Powered in both ancestries: 17
Pending caches: 535
Priors: p1=0.0001, p2=0.0001, p12=1e-06, 1e-05, 0.0001
Primary p12: 1e-05
==============================================================================
[187/535] cmp_97f0844c885d9fb6 | NOS3 | AMR
[188/535] cmp_ac5fbac82218e519 | NOS3 | EAS
[189/535] cmp_6364ed274b2cf7c7 | PDE3A | AFR
[190/535] cmp_4bb3932dc40b166f | PDE3A | AMR
[191/535] cmp_f24775dac78705fb | PDE3A | EAS
[192/535] cmp_265dc57729ae86b6 | F10 | AFR
[193/535] cmp_f36a992544b645f8 | F10 | AMR
[194/535] cmp_86e5db71c1bb33ea | F10 | EAS
[195/535] cmp_a6275c7613e223b1 | F11 | AFR
[196/535] cmp_f1d366955c52855b | F11 | AMR
[197/535] cmp_add0fff00fe30c88 | F11 | EAS
[198/535] cmp_a948136728fe0452 | F2 | AFR
[199/535] cmp_71589a44d3743513 | F2 | AMR
[200/535] cmp_b65743ed0dbea3ab | F2 | EAS
[201/535] cmp_a6be1a7fe0f56ba2 | VWF | AFR
[202/535] cmp_9e43be5ec3a7c37f | VWF | AMR
[203/535] cmp_1da2477066b379c3 | VWF | EAS
[204/535] cmp_9d8c13f3b6460d45 | PNPLA3 | AFR
[205/535] cmp_5181e0eccfa7681d | PNPLA3 | CSA
[206/535] cmp_3a1c4d856b9f1002 | TNFRSF1A | AFR
[207/535] cmp_cad575f1b76c6d4c | TNFRSF1A | CSA
[208/535] cmp_31363dc2ab3ab085 | IL12B | CSA
[209/535] cmp_ed0271b07af0362c | IL12B | MID
[210/535] cmp_4f80a5c9a2e12790 | ADIPOR2 | AFR
[211/535] cmp_5207bf5c945f87a1 | ADIPOR2 | CSA
[212/535] cmp_64bd13bc77705eda | ADIPOR2 | MID
[213/535] cmp_dd2558cccbc89872 | CALCA | AFR
[214/535] cmp_daacdfb49a767a83 | CALCA | CSA
[215/535] cmp_968e54cd842753a0 | CALCA | MID
[216/535] cmp_5f5a33771aea4344 | CALCR | AFR
[217/535] cmp_312d2eeff22fbd6d | CALCR | CSA
[218/535] cmp_397789a3dc4c5cce | CALCR | MID
[219/535] cmp_cf2eb416b2655e2b | DPP4 | AFR
[220/535] cmp_0daa02799b71141c | DPP4 | CSA
[221/535] cmp_3ebb25f4fe833c35 | DPP4 | MID
[222/535] cmp_079478dee00a071e | FGFR1 | AFR
[223/535] cmp_5b22527d173ee7fa | FGFR1 | CSA
[224/535] cmp_bad094ab84784157 | FGFR1 | MID
[225/535] cmp_2578fe8a5e432812 | FGFR4 | AFR
[226/535] cmp_cf79a21217ebfd45 | FGFR4 | CSA
[227/535] cmp_2278a2ee61e3c94f | FGFR4 | MID
[228/535] cmp_a65923a60135b609 | GDF15 | AFR
[229/535] cmp_c93179e9cff3fff4 | GDF15 | CSA
[230/535] cmp_06c4746c5e993d05 | GDF15 | MID
[231/535] cmp_8dfd1b9a2d559b23 | GFRAL | AFR
[232/535] cmp_f6c8664394696f28 | GFRAL | CSA
[233/535] cmp_46a786b0f7f692c1 | GFRAL | MID
[234/535] cmp_340539a9aafdd2ed | GHR | AFR
[235/535] cmp_fc7c44bdf8d1c088 | GHR | CSA
[236/535] cmp_f85cd571258c4937 | GHR | MID
[237/535] cmp_ce5e345eb69043ef | GIPR | AFR
[238/535] cmp_0f677d3a2cec3d16 | GIPR | CSA
[239/535] cmp_a38cb42e3379daab | GIPR | MID
