gene_trait_uid,gene,candidate_source,candidate_trait_key,candidate_trait_name,unit_analysis_role,mixed_pool,primary_approval_eligible,n_comparison_ancestries,comparison_ancestries,n_portability_pre_ld_eligible_ancestries,n_coloc_input_eligible_ancestries,n_coloc_powered_both_ancestries,minimum_qc_qualified_variants,median_qc_qualified_variants,maximum_qc_qualified_variants,maximum_eur_gws_qc_variants,maximum_comparison_gws_qc_variants,primary_mechanistic_universe,portability_primary_locked,portability_sensitivity_locked,coloc_primary_locked,coloc_powered_primary_locked,coloc_sensitivity_locked,coloc_powered_sensitivity_locked,all_ancestries_coloc_input_eligible,all_ancestries_portability_pre_ld_eligible,genome_build,canonical_group,locked_mapping_tier,mapping_tiers_contributing,sensitivity_pool_assignment,pools,n_A_pairs,n_B_pairs,n_target_indication_pairs,n_indications,indications,non_eur_pops_available,approval_pool,approval_group,portability_deming_slope,portability_fiqt_slope,portability_naive_slope,portability_n_comparison_ancestries,portability_comparison_ancestries,portability_n_variants_total,portability_n_variants_minimum,portability_n_variants_median,portability_sign_concordance,portability_pearson_r,portability_any_deming_near_boundary,portability_primary_r2_threshold,unit_stability_final,primary_unit_category,coloc_n_powered_comparisons,coloc_powered_comparison_ancestries,coloc_comparison_stability_classes,coloc_primary_pp_h4_minimum,coloc_primary_pp_h4_median,coloc_primary_pp_h4_maximum,portability_final_available,coloc_powered_final_available,both_final_mechanisms_available,mechanistic_availability
gt_68fc6cde9a15be10,NFE2L2,Pan-UKB,Pan-UKB::continuous|eGFR|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine",PRIMARY,False,True,2,CSA || MID,2,2,0,638,649.0,660,55,0,True,True,True,True,False,True,False,True,True,GRCh37,egfr_creatinine,Proxy biomarker,Proxy biomarker,B,B,0,1,1,1,Renal Insufficiency,"CSA,MID",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_5e2273bff10e0a9d,NFKB1,Pan-UKB,Pan-UKB::continuous|eGFR|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine",PRIMARY,False,True,2,CSA || MID,2,2,0,652,683.5,715,173,0,True,True,True,True,False,True,False,True,True,GRCh37,egfr_creatinine,Proxy biomarker,Proxy biomarker,B,B,0,1,1,1,"Glomerulosclerosis, Focal Segmental","CSA,MID",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_f8e7f75de5131a7d,NOX4,Pan-UKB,Pan-UKB::continuous|eGFR|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine",PRIMARY,False,True,2,CSA || MID,0,2,0,1216,1244.0,1272,0,0,True,False,False,True,False,True,False,True,False,GRCh37,egfr_creatinine,Proxy biomarker,Proxy biomarker,B,B,0,1,1,1,Diabetic Nephropathies,"CSA,MID",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_a74f9281d228a219,TGFB1,Pan-UKB,Pan-UKB::continuous|eGFR|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine",PRIMARY,False,True,2,CSA || MID,0,2,0,509,514.5,520,0,0,True,False,False,True,False,True,False,True,False,GRCh37,egfr_creatinine,Proxy biomarker,Proxy biomarker,B,B,0,1,1,1,"Glomerulosclerosis, Focal Segmental","CSA,MID",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_9539f4bd41078be3,TNFSF13,Pan-UKB,Pan-UKB::continuous|eGFR|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine",PRIMARY,False,True,2,CSA || MID,0,2,0,596,611.0,626,0,0,True,False,False,True,False,True,False,True,False,GRCh37,egfr_creatinine,Proxy biomarker,Proxy biomarker,B,B,0,1,1,1,"Glomerulonephritis, IGA","CSA,MID",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_f8d54415d6cc1cc4,ABCC8,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),PRIMARY,False,True,2,CSA || MID,2,2,0,839,843.5,848,55,0,True,True,True,True,False,True,False,True,True,GRCh37,hba1c,Direct quantitative readout,Direct quantitative readout,A,A,2,0,2,2,"Diabetes Mellitus || Diabetes Mellitus, Type 2","CSA,MID",A,Launched/approved,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_269d8238b469e256,CALCR,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),PRIMARY,False,True,2,CSA || MID,0,2,0,840,863.5,887,0,0,True,False,False,True,False,True,False,True,False,GRCh37,hba1c,Direct quantitative readout,Direct quantitative readout,B,B,0,2,2,2,"Diabetes Mellitus || Diabetes Mellitus, Type 2","CSA,MID",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_8af78a546ba0cf73,DGAT1,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),PRIMARY,False,True,2,CSA || MID,2,2,0,266,269.0,272,90,0,True,True,True,True,False,True,False,True,True,GRCh37,hba1c,Direct quantitative readout,Direct quantitative readout,B,B,0,2,2,2,"Diabetes Mellitus || Diabetes Mellitus, Type 2","CSA,MID",B,Phase I-III/not launched,1.7991554072443494,1.577261635082192,1.565472786944747,1.0,CSA,3.0,3.0,3.0,1.0,0.9860716852637603,False,0.1,,,,,,,,,True,False,False,PORTABILITY_ONLY
gt_58d110934e76bc52,FBP1,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),PRIMARY,False,True,2,CSA || MID,2,2,0,888,895.0,902,6,0,True,True,True,True,False,True,False,True,True,GRCh37,hba1c,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,"Diabetes Mellitus, Type 2","CSA,MID",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_ba7da04bd46d78cc,FGFR1,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),PRIMARY,False,True,2,CSA || MID,0,2,0,440,453.0,466,0,0,True,False,False,True,False,True,False,True,False,GRCh37,hba1c,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,"Diabetes Mellitus, Type 2","CSA,MID",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
