indication_mesh_id,indication_mesh_term,n_pairs,n_A,n_B,exposure,A_mean,B_mean,A_minus_B
D009203,Myocardial Infarction,2,1,1,has_south_asian,1.0,1.0,0.0
D009290,Narcolepsy,2,1,1,n_ancestries_all,1.0,1.0,0.0
D009290,Narcolepsy,2,1,1,n_ancestries_initial,1.0,1.0,0.0
D009290,Narcolepsy,2,1,1,n_ancestries_replication,0.0,1.0,-1.0
D009290,Narcolepsy,2,1,1,has_replication,1.0,1.0,0.0
D009290,Narcolepsy,2,1,1,has_african,0.0,0.0,0.0
D009290,Narcolepsy,2,1,1,has_east_asian,0.0,0.0,0.0
D009290,Narcolepsy,2,1,1,has_south_asian,0.0,0.0,0.0
D009369,Neoplasms,11,1,10,n_ancestries_all,1.0,1.0,0.0
D009369,Neoplasms,11,1,10,n_ancestries_initial,1.0,1.0,0.0
D009369,Neoplasms,11,1,10,n_ancestries_replication,0.0,0.0,0.0
D009369,Neoplasms,11,1,10,has_replication,0.0,0.0,0.0
D009369,Neoplasms,11,1,10,has_african,0.0,0.0,0.0
D009369,Neoplasms,11,1,10,has_east_asian,0.0,0.0,0.0
D009369,Neoplasms,11,1,10,has_south_asian,0.0,0.0,0.0
D009503,Neutropenia,4,2,2,n_ancestries_all,4.0,3.0,1.0
D009503,Neutropenia,4,2,2,n_ancestries_initial,4.0,3.0,1.0
D009503,Neutropenia,4,2,2,n_ancestries_replication,1.5,0.0,1.5
D009503,Neutropenia,4,2,2,has_replication,1.0,0.0,1.0
D009503,Neutropenia,4,2,2,has_african,1.0,1.0,0.0
D009503,Neutropenia,4,2,2,has_east_asian,1.0,0.5,0.5
D009503,Neutropenia,4,2,2,has_south_asian,0.5,0.5,0.0
D009765,Obesity,31,4,27,n_ancestries_all,4.5,2.037037037037037,2.462962962962963
D009765,Obesity,31,4,27,n_ancestries_initial,4.25,1.8518518518518519,2.398148148148148
D009765,Obesity,31,4,27,n_ancestries_replication,2.5,0.8148148148148148,1.6851851851851851
D009765,Obesity,31,4,27,has_replication,0.5,0.25925925925925924,0.24074074074074076
D009765,Obesity,31,4,27,has_african,0.5,0.18518518518518517,0.3148148148148148
D009765,Obesity,31,4,27,has_east_asian,1.0,0.3333333333333333,0.6666666666666667
D009765,Obesity,31,4,27,has_south_asian,0.5,0.18518518518518517,0.3148148148148148
D010003,Osteoarthritis,2,1,1,n_ancestries_all,0.0,1.0,-1.0
D010003,Osteoarthritis,2,1,1,n_ancestries_initial,0.0,1.0,-1.0
D010003,Osteoarthritis,2,1,1,n_ancestries_replication,0.0,0.0,0.0
D010003,Osteoarthritis,2,1,1,has_replication,0.0,0.0,0.0
D010003,Osteoarthritis,2,1,1,has_african,0.0,0.0,0.0
D010003,Osteoarthritis,2,1,1,has_east_asian,0.0,0.0,0.0
D010003,Osteoarthritis,2,1,1,has_south_asian,0.0,0.0,0.0
D010024,Osteoporosis,3,1,2,n_ancestries_all,4.0,1.0,3.0
D010024,Osteoporosis,3,1,2,n_ancestries_initial,4.0,1.0,3.0
D010024,Osteoporosis,3,1,2,n_ancestries_replication,2.0,1.0,1.0
D010024,Osteoporosis,3,1,2,has_replication,1.0,0.5,0.5
D010024,Osteoporosis,3,1,2,has_african,1.0,0.0,1.0
D010024,Osteoporosis,3,1,2,has_east_asian,1.0,0.5,0.5
D010024,Osteoporosis,3,1,2,has_south_asian,0.0,0.0,0.0
D011471,Prostatic Neoplasms,16,1,15,n_ancestries_all,4.0,4.0,0.0
D011471,Prostatic Neoplasms,16,1,15,n_ancestries_initial,4.0,3.6,0.3999999999999999
D011471,Prostatic Neoplasms,16,1,15,n_ancestries_replication,0.0,2.533333333333333,-2.533333333333333
D011471,Prostatic Neoplasms,16,1,15,has_replication,0.0,0.5333333333333333,-0.5333333333333333
D011471,Prostatic Neoplasms,16,1,15,has_african,1.0,0.8666666666666667,0.1333333333333333
D011471,Prostatic Neoplasms,16,1,15,has_east_asian,1.0,0.8666666666666667,0.1333333333333333
D011471,Prostatic Neoplasms,16,1,15,has_south_asian,0.0,0.0,0.0
D011565,Psoriasis,12,3,9,n_ancestries_all,2.0,1.2222222222222223,0.7777777777777777
D011565,Psoriasis,12,3,9,n_ancestries_initial,2.0,1.2222222222222223,0.7777777777777777
D011565,Psoriasis,12,3,9,n_ancestries_replication,1.6666666666666667,0.5555555555555556,1.1111111111111112
D011565,Psoriasis,12,3,9,has_replication,1.0,0.3333333333333333,0.6666666666666667
D011565,Psoriasis,12,3,9,has_african,0.0,0.0,0.0
D011565,Psoriasis,12,3,9,has_east_asian,1.0,0.2222222222222222,0.7777777777777778
D011565,Psoriasis,12,3,9,has_south_asian,0.0,0.0,0.0
D011618,Psychotic Disorders,3,1,2,n_ancestries_all,4.0,4.0,0.0
D011618,Psychotic Disorders,3,1,2,n_ancestries_initial,4.0,4.0,0.0
D011618,Psychotic Disorders,3,1,2,n_ancestries_replication,2.0,2.0,0.0
D011618,Psychotic Disorders,3,1,2,has_replication,1.0,1.0,0.0
D011618,Psychotic Disorders,3,1,2,has_african,0.0,0.0,0.0
D011618,Psychotic Disorders,3,1,2,has_east_asian,1.0,1.0,0.0
D011618,Psychotic Disorders,3,1,2,has_south_asian,1.0,1.0,0.0
D012148,Restless Legs Syndrome,2,1,1,n_ancestries_all,1.0,1.0,0.0
D012148,Restless Legs Syndrome,2,1,1,n_ancestries_initial,1.0,1.0,0.0
D012148,Restless Legs Syndrome,2,1,1,n_ancestries_replication,0.0,0.0,0.0
D012148,Restless Legs Syndrome,2,1,1,has_replication,0.0,1.0,-1.0
D012148,Restless Legs Syndrome,2,1,1,has_african,0.0,0.0,0.0
D012148,Restless Legs Syndrome,2,1,1,has_east_asian,0.0,0.0,0.0
D012148,Restless Legs Syndrome,2,1,1,has_south_asian,0.0,0.0,0.0
D012559,Schizophrenia,4,1,3,n_ancestries_all,4.0,4.0,0.0
D012559,Schizophrenia,4,1,3,n_ancestries_initial,4.0,4.0,0.0
D012559,Schizophrenia,4,1,3,n_ancestries_replication,2.0,2.0,0.0
D012559,Schizophrenia,4,1,3,has_replication,1.0,1.0,0.0
D012559,Schizophrenia,4,1,3,has_african,0.0,0.0,0.0
D012559,Schizophrenia,4,1,3,has_east_asian,1.0,1.0,0.0
D012559,Schizophrenia,4,1,3,has_south_asian,1.0,1.0,0.0
D012859,Sjogren's Syndrome,6,1,5,n_ancestries_all,3.0,2.6,0.3999999999999999
D012859,Sjogren's Syndrome,6,1,5,n_ancestries_initial,3.0,2.4,0.6000000000000001
D012859,Sjogren's Syndrome,6,1,5,n_ancestries_replication,2.0,1.6,0.3999999999999999
D012859,Sjogren's Syndrome,6,1,5,has_replication,1.0,0.8,0.19999999999999996
D012859,Sjogren's Syndrome,6,1,5,has_african,1.0,0.6,0.4
D012859,Sjogren's Syndrome,6,1,5,has_east_asian,1.0,0.8,0.19999999999999996
D012859,Sjogren's Syndrome,6,1,5,has_south_asian,0.0,0.0,0.0
D012893,Sleep Wake Disorders,5,1,4,n_ancestries_all,1.0,1.0,0.0
D012893,Sleep Wake Disorders,5,1,4,n_ancestries_initial,1.0,1.0,0.0
D012893,Sleep Wake Disorders,5,1,4,n_ancestries_replication,1.0,0.5,0.5
D012893,Sleep Wake Disorders,5,1,4,has_replication,1.0,0.75,0.25
D012893,Sleep Wake Disorders,5,1,4,has_african,0.0,0.0,0.0
D012893,Sleep Wake Disorders,5,1,4,has_east_asian,0.0,0.0,0.0
D012893,Sleep Wake Disorders,5,1,4,has_south_asian,0.0,0.0,0.0
D013921,Thrombocytopenia,10,4,6,n_ancestries_all,3.75,1.8333333333333333,1.9166666666666667
D013921,Thrombocytopenia,10,4,6,n_ancestries_initial,3.75,1.8333333333333333,1.9166666666666667
D013921,Thrombocytopenia,10,4,6,n_ancestries_replication,0.75,0.16666666666666666,0.5833333333333334
D013921,Thrombocytopenia,10,4,6,has_replication,0.25,0.16666666666666666,0.08333333333333334
D013921,Thrombocytopenia,10,4,6,has_african,0.5,0.16666666666666666,0.33333333333333337
D013921,Thrombocytopenia,10,4,6,has_east_asian,0.75,0.3333333333333333,0.4166666666666667
D013921,Thrombocytopenia,10,4,6,has_south_asian,0.5,0.16666666666666666,0.33333333333333337
D013922,Thrombocytosis,10,2,8,n_ancestries_all,1.5,2.75,-1.25
D013922,Thrombocytosis,10,2,8,n_ancestries_initial,1.5,2.75,-1.25
D013922,Thrombocytosis,10,2,8,n_ancestries_replication,0.5,0.25,0.25
D013922,Thrombocytosis,10,2,8,has_replication,0.5,0.25,0.25
D013922,Thrombocytosis,10,2,8,has_african,0.0,0.375,-0.375
D013922,Thrombocytosis,10,2,8,has_east_asian,0.5,0.375,0.125
D013922,Thrombocytosis,10,2,8,has_south_asian,0.0,0.375,-0.375
D013927,Thrombosis,5,2,3,n_ancestries_all,1.0,1.0,0.0
D013927,Thrombosis,5,2,3,n_ancestries_initial,1.0,0.6666666666666666,0.33333333333333337
D013927,Thrombosis,5,2,3,n_ancestries_replication,0.0,0.6666666666666666,-0.6666666666666666
D013927,Thrombosis,5,2,3,has_replication,0.0,0.3333333333333333,-0.3333333333333333
D013927,Thrombosis,5,2,3,has_african,0.0,0.3333333333333333,-0.3333333333333333
D013927,Thrombosis,5,2,3,has_east_asian,0.0,0.0,0.0
D013927,Thrombosis,5,2,3,has_south_asian,0.0,0.0,0.0
D014029,Tobacco Use Disorder,4,1,3,n_ancestries_all,2.0,1.3333333333333333,0.6666666666666667
D014029,Tobacco Use Disorder,4,1,3,n_ancestries_initial,2.0,1.3333333333333333,0.6666666666666667
