indication_mesh_id,indication_mesh_term,n_pairs,n_A,n_genes,n_B,mixed_pool
D019896,alpha 1-Antitrypsin Deficiency,1,1,1,0,False
D019966,Substance-Related Disorders,1,0,1,1,False
D019973,Alcohol-Related Disorders,1,0,1,1,False
D020177,Idiopathic Hypersomnia,1,0,1,1,False
D020178,"Sleep Disorders, Circadian Rhythm",1,1,1,0,False
D020246,Venous Thrombosis,4,2,4,2,True
D020521,Stroke,3,0,3,3,False
D020920,Dyssomnias,1,0,1,1,False
D024821,Metabolic Syndrome,3,0,3,3,False
D029424,"Pulmonary Disease, Chronic Obstructive",20,3,20,17,True
D029481,"Bronchitis, Chronic",1,1,1,0,False
D042882,Gallstones,1,0,1,1,False
D049950,"Hyperparathyroidism, Primary",1,1,1,0,False
D050171,Dyslipidemias,5,3,5,2,True
D050197,Atherosclerosis,9,1,9,8,True
D051437,Renal Insufficiency,5,0,5,5,False
D052456,Hypoalphalipoproteinemias,1,0,1,1,False
D054198,Precursor Cell Lymphoblastic Leukemia-Lymphoma,1,0,1,1,False
D055623,"Keratosis, Actinic",1,0,1,1,False
D055728,Primary Myelofibrosis,1,1,1,0,False
D055752,Small Cell Lung Carcinoma,1,0,1,1,False
D057135,Wet Macular Degeneration,2,0,2,2,False
D057180,Frontotemporal Dementia,2,0,2,2,False
D057765,Eosinophilic Esophagitis,6,2,6,4,True
D058186,Acute Kidney Injury,3,0,3,3,False
D058496,Smith-Magenis Syndrome,1,1,1,0,False
D065626,Non-alcoholic Fatty Liver Disease,1,0,1,1,False
D065631,"Rhinitis, Allergic",9,1,9,8,True
