ti_uid,gene,indication_mesh_id,indication_mesh_term,ccat,year_launch,supported,pool,initial_set,replication_set,all_set,n_studies_total,n_studies_initial,n_studies_replication,n_ancestries_initial,n_ancestries_replication,n_ancestries_all,has_replication,panukb_phenotype_id,trait_type,phenocode,description,pops_pass_qc,num_pops_pass_qc,filename,filename_tabix,aws_path,aws_path_tabix,mapping_tier,mapping_status,mapping_rationale,source_resource,source_manifest_filename,source_manifest_md5,source_manifest_sha256,genome_build
SLC5A1-D003920,SLC5A1,D003920,Diabetes Mellitus,Phase I,,True,B,['African' 'East Asian' 'European' 'South Asian'],[],['African' 'East Asian' 'European' 'South Asian'],3,3,0,4,0,4,False,phecode|250|both_sexes||,phecode,250,Diabetes mellitus,"CSA,EUR",2,phecode-250-both_sexes.tsv.bgz,phecode-250-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-250-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-250-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact broad endpoint: Diabetes mellitus; excludes the narrower type 2 endpoint.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
SLC5A1-D003924,SLC5A1,D003924,"Diabetes Mellitus, Type 2",Launched,,True,A,['European'],[],['European'],2,2,0,1,0,1,False,phecode|250.2|both_sexes||,phecode,250.2,Type 2 diabetes,"CSA,EUR",2,phecode-250.2-both_sexes.tsv.bgz,phecode-250.2-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-250.2-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-250.2-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: Type 2 diabetes.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
SLC6A4-D009765,SLC6A4,D009765,Obesity,Phase III,,True,B,['European'],[],['European'],3,3,0,1,0,1,False,icd10|E66|both_sexes||,icd10,E66,E66 Obesity,"EUR,MID",2,icd10-E66-both_sexes.tsv.bgz,icd10-E66-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-E66-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-E66-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: ICD-10 E66 Obesity.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
SREBF1-D003920,SREBF1,D003920,Diabetes Mellitus,Phase I,,True,B,['East Asian' 'European'],[],['East Asian' 'European'],2,2,0,2,0,2,False,phecode|250|both_sexes||,phecode,250,Diabetes mellitus,"CSA,EUR",2,phecode-250-both_sexes.tsv.bgz,phecode-250-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-250-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-250-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact broad endpoint: Diabetes mellitus; excludes the narrower type 2 endpoint.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
SREBF1-D009765,SREBF1,D009765,Obesity,Phase I,,True,B,['East Asian'],['East Asian' 'European'],['East Asian' 'European'],1,1,1,1,2,2,True,icd10|E66|both_sexes||,icd10,E66,E66 Obesity,"EUR,MID",2,icd10-E66-both_sexes.tsv.bgz,icd10-E66-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-E66-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-E66-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: ICD-10 E66 Obesity.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
SREBF2-D009765,SREBF2,D009765,Obesity,Phase I,,True,B,['European'],[],['European'],2,2,0,1,0,1,False,icd10|E66|both_sexes||,icd10,E66,E66 Obesity,"EUR,MID",2,icd10-E66-both_sexes.tsv.bgz,icd10-E66-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-E66-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-E66-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: ICD-10 E66 Obesity.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
TGFB1-D010003,TGFB1,D010003,Osteoarthritis,Launched,,True,A,['NR'],[],['NR'],1,1,0,0,0,0,False,phecode|740|both_sexes||,phecode,740,Osteoarthrosis,"EUR,MID",2,phecode-740-both_sexes.tsv.bgz,phecode-740-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-740-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-740-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact endpoint synonym: Osteoarthrosis for osteoarthritis; excludes site-specific hip/knee arthrosis.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
TNFSF15-D001249,TNFSF15,D001249,Asthma,Phase II,,True,B,['East Asian' 'European'],[],['East Asian' 'European'],2,2,0,2,0,2,False,icd10|J45|both_sexes||,icd10,J45,J45 Asthma,"CSA,EUR,MID",3,icd10-J45-both_sexes.tsv.bgz,icd10-J45-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-J45-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-J45-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: ICD-10 J45 Asthma.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
TNFSF4-D001249,TNFSF4,D001249,Asthma,Phase II,,True,B,['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'],['European' 'NR'],['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'],14,14,2,4,1,4,True,icd10|J45|both_sexes||,icd10,J45,J45 Asthma,"CSA,EUR,MID",3,icd10-J45-both_sexes.tsv.bgz,icd10-J45-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-J45-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-J45-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: ICD-10 J45 Asthma.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
TP53-D003920,TP53,D003920,Diabetes Mellitus,Phase II,,True,B,['African' 'European' 'South Asian'],[],['African' 'European' 'South Asian'],2,2,0,3,0,3,False,phecode|250|both_sexes||,phecode,250,Diabetes mellitus,"CSA,EUR",2,phecode-250-both_sexes.tsv.bgz,phecode-250-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-250-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-250-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact broad endpoint: Diabetes mellitus; excludes the narrower type 2 endpoint.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
TSLP-D001249,TSLP,D001249,Asthma,Launched,,True,A,['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'],['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'],['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'],45,45,9,4,4,4,True,icd10|J45|both_sexes||,icd10,J45,J45 Asthma,"CSA,EUR,MID",3,icd10-J45-both_sexes.tsv.bgz,icd10-J45-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-J45-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-J45-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: ICD-10 J45 Asthma.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
TSLP-D029424,TSLP,D029424,"Pulmonary Disease, Chronic Obstructive",Phase II,,True,B,['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'],['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'],['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'],41,41,8,4,4,4,True,icd10|J44|both_sexes||,icd10,J44,J44 Other chronic obstructive pulmonary disease,"CSA,EUR",2,icd10-J44-both_sexes.tsv.bgz,icd10-J44-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-J44-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-J44-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: ICD-10 J44 chronic obstructive pulmonary disease.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
TYK2-D001249,TYK2,D001249,Asthma,Phase I,,True,B,['European'],[],['European'],1,1,0,1,0,1,False,icd10|J45|both_sexes||,icd10,J45,J45 Asthma,"CSA,EUR,MID",3,icd10-J45-both_sexes.tsv.bgz,icd10-J45-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-J45-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-J45-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: ICD-10 J45 Asthma.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
VDR-D006973,VDR,D006973,Hypertension,Phase I,,True,B,['European' 'NR'],[],['European' 'NR'],3,3,0,1,0,1,False,phecode|401|both_sexes||,phecode,401,Hypertension,"CSA,EUR",2,phecode-401-both_sexes.tsv.bgz,phecode-401-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-401-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-401-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact broad endpoint: Hypertension; excludes narrower essential hypertension.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
VEGFA-D003924,VEGFA,D003924,"Diabetes Mellitus, Type 2",Phase I,,True,B,['African' 'East Asian' 'European' 'Hispanic/Latin American' 'South Asian'],[],['African' 'East Asian' 'European' 'Hispanic/Latin American' 'South Asian'],6,6,0,5,0,5,False,phecode|250.2|both_sexes||,phecode,250.2,Type 2 diabetes,"CSA,EUR",2,phecode-250.2-both_sexes.tsv.bgz,phecode-250.2-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-250.2-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-250.2-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: Type 2 diabetes.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
