indication_mesh_id,indication_mesh_term_in_trails,mesh2026_preferred_term,mesh2026_entry_terms,mesh2026_n_terms,mesh2026_tree_numbers,n_pairs,n_genes,n_A,n_B,mesh2026_record_found
D003924,"Diabetes Mellitus, Type 2","Diabetes Mellitus, Type 2","Adult-Onset Diabetes Mellitus || Diabetes Mellitus, Adult Onset || Diabetes Mellitus, Adult-Onset || Diabetes Mellitus, Ketosis Resistant || Diabetes Mellitus, Ketosis-Resistant || Diabetes Mellitus, Maturity Onset || Diabetes Mellitus, Maturity-Onset || Diabetes Mellitus, Non Insulin Dependent || Diabetes Mellitus, Non-Insulin-Dependent || Diabetes Mellitus, Noninsulin Dependent || Diabetes Mellitus, Noninsulin-Dependent || Diabetes Mellitus, Slow Onset || Diabetes Mellitus, Slow-Onset || Diabetes Mellitus, Stable || Diabetes Mellitus, Type 2 || Diabetes Mellitus, Type II || Diabetes, Maturity-Onset || Diabetes, Type 2 || Ketosis-Resistant Diabetes Mellitus || MODY (Maturity-onset diabetes of the young) || Maturity Onset Diabetes || Maturity Onset Diabetes Mellitus || Maturity-Onset Diabetes || Maturity-Onset Diabetes Mellitus || NIDDM || Non-Insulin-Dependent Diabetes Mellitus || Noninsulin Dependent Diabetes Mellitus || Noninsulin-Dependent Diabetes Mellitus || Slow-Onset Diabetes Mellitus || Stable Diabetes Mellitus || Type 2 Diabetes || Type 2 Diabetes Mellitus",32,C18.452.394.750.149 || C19.246.300,18,18,9,9,True
D003928,Diabetic Nephropathies,Diabetic Nephropathies,"Diabetic Glomerulosclerosis || Diabetic Kidney Disease || Diabetic Kidney Diseases || Diabetic Nephropathies || Diabetic Nephropathy || Glomerulosclerosis, Diabetic || Glomerulosclerosis, Nodular || Intracapillary Glomerulosclerosis || Kidney Disease, Diabetic || Kidney Diseases, Diabetic || Kimmelstiel Wilson Disease || Kimmelstiel Wilson Syndrome || Kimmelstiel-Wilson Disease || Kimmelstiel-Wilson Syndrome || Nephropathies, Diabetic || Nephropathy, Diabetic || Nodular Glomerulosclerosis || Syndrome, Kimmelstiel-Wilson",18,C12.050.351.968.419.192 || C12.200.777.419.192 || C12.950.419.192 || C19.246.099.875,1,1,0,1,True
D003929,Diabetic Neuropathies,Diabetic Neuropathies,"Amyotrophies, Diabetic || Amyotrophy, Diabetic || Asymmetric Diabetic Proximal Motor Neuropathy || Asymmetric Polyneuropathies, Diabetic || Asymmetric Polyneuropathy, Diabetic || Autonomic Neuropathies, Diabetic || Autonomic Neuropathy, Diabetic || Diabetic Amyotrophies || Diabetic Amyotrophy || Diabetic Asymmetric Polyneuropathies || Diabetic Asymmetric Polyneuropathy || Diabetic Autonomic Neuropathies || Diabetic Autonomic Neuropathy || Diabetic Mononeuropathies || Diabetic Mononeuropathy || Diabetic Mononeuropathy Simplex || Diabetic Mononeuropathy Simplices || Diabetic Neuralgia || Diabetic Neuralgias || Diabetic Neuropathies || Diabetic Neuropathies, Painful || Diabetic Neuropathy || Diabetic Neuropathy, Painful || Diabetic Polyneuropathies || Diabetic Polyneuropathy || Mononeuropathies, Diabetic || Mononeuropathy Simplex, Diabetic || Mononeuropathy Simplices, Diabetic || Mononeuropathy, Diabetic || Neuralgia, Diabetic || Neuralgias, Diabetic || Neuropathies, Diabetic || Neuropathies, Diabetic Autonomic || Neuropathies, Painful Diabetic || Neuropathy, Diabetic || Neuropathy, Diabetic Autonomic || Neuropathy, Painful Diabetic || Painful Diabetic Neuropathies || Painful Diabetic Neuropathy || Polyneuropathies, Diabetic || Polyneuropathies, Diabetic Asymmetric || Polyneuropathy, Diabetic || Polyneuropathy, Diabetic Asymmetric || Simplex, Diabetic Mononeuropathy || Simplices, Diabetic Mononeuropathy || Symmetric Diabetic Proximal Motor Neuropathy",46,C10.668.829.300 || C19.246.099.937,1,1,0,1,True
D004381,Duodenal Ulcer,Duodenal Ulcer,"Curling Ulcer || Curling's Ulcer || Curlings Ulcer || Duodenal Ulcer || Duodenal Ulcers || Ulcer, Curling || Ulcer, Duodenal || Ulcers, Duodenal",8,C06.405.469.275.800.348 || C06.405.748.586.349,1,1,0,1,True
D004485,Eczema,Eczema,"Dermatitis, Eczematous || Eczema || Eczematous Dermatitis",3,C17.800.174.620 || C17.800.815.620,1,1,0,1,True
D004700,Endocrine System Diseases,Endocrine System Diseases,"Disease, Endocrine || Disease, Endocrine System || Diseases of Endocrine System || Diseases, Endocrine || Diseases, Endocrine System || Endocrine Disease || Endocrine Diseases || Endocrine System Disease || Endocrine System Diseases || System Disease, Endocrine || System Diseases, Endocrine",11,C19,2,2,0,2,True
D004715,Endometriosis,Endometriosis,Endometrioma || Endometriomas || Endometrioses || Endometriosis,4,C12.050.351.500.163 || C12.100.250.163,1,1,1,0,True
D004827,Epilepsy,Epilepsy,"Aura || Auras || Awakening Epilepsy || Cryptogenic Epilepsies || Cryptogenic Epilepsy || Epilepsies || Epilepsies, Cryptogenic || Epilepsy || Epilepsy, Awakening || Epilepsy, Cryptogenic || Seizure Disorder || Seizure Disorders",12,C10.228.140.490,2,2,2,0,True
D004828,"Epilepsies, Partial","Epilepsies, Partial","Abdominal Epilepsies || Abdominal Epilepsy || Amygdalo-Hippocampal Epilepsies || Amygdalo-Hippocampal Epilepsy || Benign Focal Epilepsy, Childhood || Benign Occipital Epilepsies || Benign Occipital Epilepsy || Benign Occipital Epilepsy, Childhood || Childhood Benign Focal Epilepsy || Childhood Benign Occipital Epilepsy || Digestive Epilepsies || Digestive Epilepsy || Disorders, Focal Seizure || Disorders, Partial Seizure || Epilepsies, Abdominal || Epilepsies, Amygdalo-Hippocampal || Epilepsies, Benign Occipital || Epilepsies, Digestive || Epilepsies, Focal || Epilepsies, Gelastic || Epilepsies, Localization-Related || Epilepsies, Occipital Lobe || Epilepsies, Partial || Epilepsies, Rhinencephalic || Epilepsies, Simple Partial || Epilepsy, Abdominal || Epilepsy, Benign Occipital || Epilepsy, Focal || Epilepsy, Localization-Related || Epilepsy, Partial || Epilepsy, Simple Partial || Focal Epilepsies || Focal Epilepsy || Focal Seizure Disorder || Focal Seizure Disorders || Gelastic Epilepsies || Gelastic Epilepsy || Lobe Epilepsy, Occipital || Localization-Related Epilepsies || Localization-Related Epilepsy || Occipital Epilepsies, Benign || Occipital Epilepsy, Benign || Occipital Lobe Epilepsies || Occipital Lobe Epilepsy || Panayiotopoulos Syndrome || Partial Epilepsies || Partial Epilepsies, Simple || Partial Epilepsy || Partial Seizure Disorder || Partial Seizure Disorders || Partial Seizures, Simple || Partial Seizures, Simple, Consciousness Preserved || Rhinencephalic Epilepsies || Rhinencephalic Epilepsy || Seizure Disorder, Focal || Seizure Disorder, Partial || Seizure Disorders, Focal || Seizure Disorders, Partial || Seizure, Subclinical || Seizure, Uncinate || Seizures, Simple Partial || Seizures, Subclinical || Seizures, Uncinate || Simple Partial Epilepsies || Simple Partial Seizures || Subclinical Seizure || Subclinical Seizures || Uncinate Seizure || Uncinate Seizures",69,C10.228.140.490.360,1,1,1,0,True
D004829,"Epilepsy, Generalized","Epilepsy, Generalized","Akinetic Epilepsies || Akinetic Epilepsy || Atonic Epilepsies || Atonic Epilepsy || Convulsive Epilepsies, Generalized || Convulsive Epilepsy, Generalized || Convulsive Generalized Seizure Disorder || Convulsive Seizure Disorder, Generalized || Epilepsies, Akinetic || Epilepsies, Atonic || Epilepsies, Generalized || Epilepsies, Generalized Convulsive || Epilepsies, Tonic || Epilepsy, Akinetic || Epilepsy, Atonic || Epilepsy, Generalized || Epilepsy, Generalized Convulsive || Epilepsy, Generalized Nonconvulsive || Epilepsy, Symptomatic Generalized || Epilepsy, Tonic || Generalized Convulsive Epilepsies || Generalized Convulsive Epilepsy || Generalized Epilepsies || Generalized Epilepsy || Generalized Epilepsy, Symptomatic || Generalized Nonconvulsive Epilepsy || Generalized Nonconvulsive Seizure Disorder || Generalized Onset Seizure Disorder || Generalized Seizure Disorder || Generalized Seizure Disorder, Convulsive || Generalized Seizure Disorder, Nonconvulsive || Generalized Seizure Disorders || Nonconvulsive Epilepsy, Generalized || Nonconvulsive Generalized Seizure Disorder || Nonconvulsive Seizure Disorder, Generalized || Seizure Disorder, Convulsive, Generalized || Seizure Disorder, Generalized || Seizure Disorder, Generalized Nonconvulsive || Seizure Disorder, Generalized Onset || Seizure Disorder, Generalized, Convulsive || Seizure Disorder, Nonconvulsive Generalized || Seizure Disorders, Generalized || Symptomatic Generalized Epilepsy || Tonic Epilepsies || Tonic Epilepsy",45,C10.228.140.490.375,2,2,2,0,True
