indication_mesh_id,indication_mesh_term,mesh2026_preferred_term,n_pairs,n_genes,n_A,n_B,n_conservative_candidates,candidate_1_id,candidate_1_description,candidate_1_pops_pass_qc,candidate_1_scope_relation,candidate_1_shared_tokens,candidate_1_subtype_conflict,selected_panukb_phenotype_id,mapping_decision,mapping_rationale,reviewer_notes,candidate_2_id,candidate_2_description,candidate_2_pops_pass_qc,candidate_2_scope_relation,candidate_2_shared_tokens,candidate_2_subtype_conflict,candidate_3_id,candidate_3_description,candidate_3_pops_pass_qc,candidate_3_scope_relation,candidate_3_shared_tokens,candidate_3_subtype_conflict
D006432,Hemochromatosis,Hemochromatosis,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D006712,Homocystinuria,Homocystinuria,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D006934,Hypercalcemia,Hypercalcemia,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
D008072,Hyperlipoproteinemia Type I,Hyperlipoproteinemia Type I,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
D049950,"Hyperparathyroidism, Primary","Hyperparathyroidism, Primary",1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
D006962,"Hyperparathyroidism, Secondary","Hyperparathyroidism, Secondary",1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
D006980,Hyperthyroidism,Hyperthyroidism,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D052456,Hypoalphalipoproteinemias,Hypoalphalipoproteinemias,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D006996,Hypocalcemia,Hypocalcemia,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D007014,Hypophosphatasia,Hypophosphatasia,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
D017674,Hypophosphatemia,Hypophosphatemia,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D007037,Hypothyroidism,Hypothyroidism,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
D020177,Idiopathic Hypersomnia,Idiopathic Hypersomnia,1,1,0,1,2,icd10|G47|both_sexes||,G47 Sleep disorders,"CSA,EUR",phenotype_broader,sleep,False,,,,,phecode|327|both_sexes||,Sleep disorders,"CSA,EUR",phenotype_broader,sleep,False,,,,,,
D055623,"Keratosis, Actinic","Keratosis, Actinic",1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D007863,Lecithin Cholesterol Acyltransferase Deficiency,Lecithin Cholesterol Acyltransferase Deficiency,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D007889,Leiomyoma,Leiomyoma,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
D007890,Leiomyosarcoma,Leiomyosarcoma,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D015451,"Leukemia, Lymphocytic, Chronic, B-Cell","Leukemia, Lymphocytic, Chronic, B-Cell",1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
D015464,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive","Leukemia, Myelogenous, Chronic, BCR-ABL Positive",1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D007970,Leukopenia,Leukopenia,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
D008103,Liver Cirrhosis,Liver Cirrhosis,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D008105,"Liver Cirrhosis, Biliary","Liver Cirrhosis, Biliary",1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D008175,Lung Neoplasms,Lung Neoplasms,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D008223,Lymphoma,Lymphoma,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D008224,"Lymphoma, Follicular","Lymphoma, Follicular",1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D008527,Medulloblastoma,Medulloblastoma,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D008659,Metabolic Diseases,Metabolic Diseases,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D009196,Myeloproliferative Disorders,Myeloproliferative Disorders,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D009223,Myotonic Dystrophy,Myotonic Dystrophy,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D009303,Nasopharyngeal Neoplasms,Nasopharyngeal Neoplasms,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D018307,"Neoplasms, Squamous Cell","Neoplasms, Squamous Cell",1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D009437,Neuralgia,Neuralgia,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D018242,"Neuroectodermal Tumors, Primitive","Neuroectodermal Tumors, Primitive",1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D065626,Non-alcoholic Fatty Liver Disease,Non-alcoholic Fatty Liver Disease,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D009293,Opioid-Related Disorders,Opioid-Related Disorders,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
D016584,Panic Disorder,Panic Disorder,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D010493,Pericarditis,Pericarditis,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D016491,Peripheral Vascular Diseases,Peripheral Vascular Diseases,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D000072861,"Phobia, Social","Phobia, Social",1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D010787,Photosensitivity Disorders,Photosensitivity Disorders,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D010916,Pityriasis Rubra Pilaris,Pityriasis Rubra Pilaris,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D011085,Polycystic Ovary Syndrome,Polycystic Ovary Syndrome,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
D011087,Polycythemia Vera,Polycythemia Vera,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
D054198,Precursor Cell Lymphoblastic Leukemia-Lymphoma,Precursor Cell Lymphoblastic Leukemia-Lymphoma,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D055728,Primary Myelofibrosis,Primary Myelofibrosis,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
D011470,Prostatic Hyperplasia,Prostatic Hyperplasia,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
D011628,"Puberty, Delayed","Puberty, Delayed",1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
D011655,Pulmonary Embolism,Pulmonary Embolism,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
D012164,Retinal Diseases,Retinal Diseases,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D012170,Retinal Vein Occlusion,Retinal Vein Occlusion,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D012208,Rhabdomyosarcoma,Rhabdomyosarcoma,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
