indication_mesh_id,indication_mesh_term,mesh2026_preferred_term,n_pairs,n_genes,n_A,n_B,candidate_1_id,candidate_1_description,candidate_1_pops_pass_qc,candidate_1_score,candidate_1_matched_mesh_term,candidate_2_id,candidate_2_description,candidate_2_pops_pass_qc,candidate_2_score,candidate_2_matched_mesh_term,candidate_3_id,candidate_3_description,candidate_3_pops_pass_qc,candidate_3_score,candidate_3_matched_mesh_term,candidate_4_id,candidate_4_description,candidate_4_pops_pass_qc,candidate_4_score,candidate_4_matched_mesh_term,candidate_5_id,candidate_5_description,candidate_5_pops_pass_qc,candidate_5_score,candidate_5_matched_mesh_term,selected_panukb_phenotype_id,mapping_decision,mapping_rationale,reviewer_notes
D001008,Anxiety Disorders,Anxiety Disorders,7,7,1,6,icd10|G47|both_sexes||,G47 Sleep disorders,"CSA,EUR",54.479166666666664,Anxiety Disorders,phecode|327|both_sexes||,Sleep disorders,"CSA,EUR",54.479166666666664,Anxiety Disorders,phecode|306|both_sexes||,Other mental disorder,"EAS,EUR",52.27477477477477,Anxiety Disorder,phecode|317|both_sexes||,Alcohol-related disorders,"AFR,EUR",50.535714285714285,Anxiety Disorders,phecode|318|both_sexes||,Tobacco use disorder,"EAS,EUR",50.41666666666667,Anxiety Disorder,,,,
D009103,Multiple Sclerosis,Multiple Sclerosis,7,7,0,7,phecode|411.4|both_sexes||,Coronary atherosclerosis,"CSA,EUR",8.478260869565217,Disseminated Sclerosis,phecode|550|both_sexes||,Abdominal hernia,"EAS,EUR",7.105263157894736,Disseminated Sclerosis,icd10|K42|both_sexes||,K42 Umbilical hernia,"CSA,EUR",7.0588235294117645,Multiple Sclerosis,phecode|550.4|both_sexes||,Umbilical hernia,"CSA,EUR",7.0588235294117645,Multiple Sclerosis,phecode|740|both_sexes||,Osteoarthrosis,"EUR,MID",6.857142857142857,MS (Multiple Sclerosis),,,,
D010051,Ovarian Neoplasms,Ovarian Neoplasms,7,7,0,7,phecode|594|both_sexes||,Urinary calculus,"CSA,EUR",8.275862068965518,Ovary Cancers,phecode|411.4|both_sexes||,Coronary atherosclerosis,"CSA,EUR",7.692307692307692,Ovary Neoplasms,phecode|594.1|both_sexes||,Calculus of kidney,"CSA,EUR",7.297297297297297,Cancer of the Ovary,phecode|716.9|both_sexes||,Arthropathy NOS,"EAS,EUR",7.241379310344828,Ovary Neoplasm,phecode|530|both_sexes||,Diseases of esophagus,"EUR,MID",6.666666666666666,Cancer of Ovary,,,,
D001281,Atrial Fibrillation,Atrial Fibrillation,6,6,2,4,phecode|401.1|both_sexes||,Essential hypertension,"CSA,EUR",8.653846153846153,Persistent Atrial Fibrillation,phecode|496.2|both_sexes||,Chronic bronchitis,"CSA,EUR",7.317073170731707,Auricular Fibrillations,phecode|459|both_sexes||,Other disorders of circulatory system,"CSA,EUR",7.164179104477612,"Atrial Fibrillation, Persistent",icd10|K42|both_sexes||,K42 Umbilical hernia,"CSA,EUR",6.818181818181818,Familial Atrial Fibrillation,phecode|550|both_sexes||,Abdominal hernia,"EAS,EUR",6.818181818181818,"Fibrillation, Familial Atrial",,,,
D057765,Eosinophilic Esophagitis,Eosinophilic Esophagitis,6,6,2,4,phecode|496.2|both_sexes||,Chronic bronchitis,"CSA,EUR",49.65,"Chronic Esophagitis, Eosinophilic",phecode|530.1|both_sexes||,"Esophagitis, GERD and related diseases","EUR,MID",46.385245901639344,"Esophagitis, Eosinophilic",phecode|496.21|both_sexes||,Obstructive chronic bronchitis,"CSA,EUR",36.40860215053763,Eosinophilic Chronic Esophagitis,icd10|I25|both_sexes||,I25 Chronic ischaemic heart disease,"CSA,EUR",35.59523809523809,"Chronic Esophagitis, Eosinophilic",icd10|J44|both_sexes||,J44 Other chronic obstructive pulmonary disease,"CSA,EUR",33.73376623376623,Eosinophilic Chronic Esophagitides,,,,
D007676,"Kidney Failure, Chronic","Kidney Failure, Chronic",6,6,1,5,phecode|496.2|both_sexes||,Chronic bronchitis,"CSA,EUR",49.71153846153846,Chronic Renal Failure,phecode|594.1|both_sexes||,Calculus of kidney,"CSA,EUR",48.0,Chronic Kidney Failure,icd10|N20|both_sexes||,N20 Calculus of kidney and ureter,"CSA,EUR",36.90196078431372,Chronic Kidney Failure,phecode|496.21|both_sexes||,Obstructive chronic bronchitis,"CSA,EUR",35.13725490196078,Chronic Renal Failure,icd10|I25|both_sexes||,I25 Chronic ischaemic heart disease,"CSA,EUR",34.85849056603773,Chronic Kidney Failure,,,,
D010300,Parkinson Disease,Parkinson Disease,6,6,0,6,phecode|411|both_sexes||,Ischemic Heart Disease,"CSA,EUR",48.94230769230769,Parkinson Disease,icd10|K21|both_sexes||,K21 Gastro-oesophageal reflux disease,"EUR,MID",47.0,Parkinson's Disease,icd10|I25|both_sexes||,I25 Chronic ischaemic heart disease,"CSA,EUR",45.75,Parkinson Disease,icd10|J44|both_sexes||,J44 Other chronic obstructive pulmonary disease,"CSA,EUR",45.0,Parkinson Disease,phecode|411.8|both_sexes||,"Other chronic ischemic heart disease, unspecified","CSA,EAS,EUR",44.11538461538461,Parkinson Disease,,,,
D012859,Sjogren's Syndrome,Sjogren's Syndrome,6,6,1,5,phecode|306|both_sexes||,Other mental disorder,"EAS,EUR",6.486486486486487,Sjogren Syndrome,phecode|318|both_sexes||,Tobacco use disorder,"EAS,EUR",6.1764705882352935,Sicca Syndrome,icd10|F32|both_sexes||,F32 Depressive episode,"CSA,EUR",6.0,Sjogrens Syndrome,phecode|550|both_sexes||,Abdominal hernia,"EAS,EUR",6.0,"Syndrome, Sicca",phecode|411|both_sexes||,Ischemic Heart Disease,"CSA,EUR",5.833333333333333,Sicca Syndrome,,,,
D007319,Sleep Initiation and Maintenance Disorders,Sleep Initiation and Maintenance Disorders,6,6,3,3,icd10|G47|both_sexes||,G47 Sleep disorders,"CSA,EUR",90.39473684210526,Sleep Initiation and Maintenance Disorders,phecode|327|both_sexes||,Sleep disorders,"CSA,EUR",90.39473684210526,Sleep Initiation and Maintenance Disorders,phecode|496.2|both_sexes||,Chronic bronchitis,"CSA,EUR",52.99019607843137,Chronic Insomnia,phecode|306|both_sexes||,Other mental disorder,"EAS,EUR",52.85087719298245,Insomnia Disorder,phecode|317|both_sexes||,Alcohol-related disorders,"AFR,EUR",49.622093023255815,Insomnia Disorders,,,,
D001714,Bipolar Disorder,Bipolar Disorder,5,5,3,2,icd10|G47|both_sexes||,G47 Sleep disorders,"CSA,EUR",54.479166666666664,Bipolar Disorders,phecode|327|both_sexes||,Sleep disorders,"CSA,EUR",54.479166666666664,Bipolar Disorders,phecode|306|both_sexes||,Other mental disorder,"EAS,EUR",53.595238095238095,Manic Disorder,phecode|318|both_sexes||,Tobacco use disorder,"EAS,EUR",50.955882352941174,Manic Disorder,icd10|F32|both_sexes||,F32 Depressive episode,"CSA,EUR",50.79545454545455,Manic Depressive Psychosis,,,,
