weight_scheme,model_id,exposure,formula,n,n_A,n_B,n_gene_clusters,effective_sample_size,status,error,converged,beta,cluster_robust_se,odds_ratio,ci_low,ci_high,p_value,warning_messages,n_parameters,bread_rank,design_full_rank,finite_sample_correction,condition_number
ipw_untrimmed,SW3,n_ancestries_initial,approval ~ n_ancestries_initial + log_studies + earliest_year_centered,790,157,633,383,788.4793855532432,ok,,True,0.1070114240318339,0.07443062349379556,1.1129469687483018,0.9618758243523593,1.2877451786253487,0.15050959559543012,,4,4,True,1.0064445865473004,13.349228235583967
ipw_untrimmed,SW4,n_ancestries_initial,approval ~ n_ancestries_initial + log_studies + earliest_year_centered + mesh_C18 + mesh_C20 + mesh_C23 + mesh_C04 + mesh_C17 + mesh_C06 + mesh_C15 + mesh_C08 + mesh_C10 + mesh_C14 + mesh_F03 + mesh_C12 + mesh_C19 + mesh_C16 + mesh_C05,790,157,633,383,788.4793855532432,ok,,True,0.0582037009810016,0.08399769554341674,1.0599308826819434,0.8990390960605005,1.249615818695521,0.48835962482238393,,19,19,True,1.0260252205268197,38.6383950050226
ipw_trimmed,SW1,n_ancestries_initial,approval ~ n_ancestries_initial,790,157,633,383,789.6388566004618,ok,,True,0.1622115287166029,0.05386803061958044,1.1761089958371849,1.0582664330200915,1.3070738397528765,0.0026015193536806846,,2,2,True,1.0038901586626625,4.969620649577799
ipw_trimmed,SW2,n_ancestries_initial,approval ~ n_ancestries_initial + log_studies,790,157,633,383,789.6388566004618,ok,,True,0.11151885302463777,0.07341019125447242,1.1179748210136924,0.9681555834343566,1.2909781462881393,0.12873241921722708,,3,3,True,1.0051657497156012,8.209237347370546
ipw_trimmed,SW3,n_ancestries_initial,approval ~ n_ancestries_initial + log_studies + earliest_year_centered,790,157,633,383,789.6388566004618,ok,,True,0.10687519731496058,0.07438397448100013,1.1127953659631045,0.9618327368087934,1.2874520476579792,0.15077367347749585,,4,4,True,1.0064445865473004,13.349228235583967
ipw_trimmed,SW4,n_ancestries_initial,approval ~ n_ancestries_initial + log_studies + earliest_year_centered + mesh_C18 + mesh_C20 + mesh_C23 + mesh_C04 + mesh_C17 + mesh_C06 + mesh_C15 + mesh_C08 + mesh_C10 + mesh_C14 + mesh_F03 + mesh_C12 + mesh_C19 + mesh_C16 + mesh_C05,790,157,633,383,789.6388566004618,ok,,True,0.05780847625929983,0.08414547993317567,1.059512054564877,0.8984235758403426,1.2494839004177873,0.4920787477038402,,19,19,True,1.0260252205268197,38.6383950050226
unweighted,SW1,n_ancestries_replication,approval ~ n_ancestries_replication,790,157,633,383,790.0,ok,,True,0.04996243015889873,0.06882234166006605,1.0512316010299003,0.9185794477159376,1.2030400655617828,0.46786184036991896,,2,2,True,1.0038901586626625,2.5270647985733463
unweighted,SW2,n_ancestries_replication,approval ~ n_ancestries_replication + log_studies,790,157,633,383,790.0,ok,,True,-0.14391756579838558,0.09097872390076872,0.8659591297665106,0.7245296538253592,1.0349958907364818,0.1136766110181338,,3,3,True,1.0051657497156012,6.518029395771478
unweighted,SW3,n_ancestries_replication,approval ~ n_ancestries_replication + log_studies + earliest_year_centered,790,157,633,383,790.0,ok,,True,-0.14367805486616844,0.11648090403234478,0.8661665612850095,0.6893704896534474,1.0883037831594047,0.21739292674864052,,4,4,True,1.0064445865473004,12.895292834601712
unweighted,SW4,n_ancestries_replication,approval ~ n_ancestries_replication + log_studies + earliest_year_centered + mesh_C18 + mesh_C20 + mesh_C23 + mesh_C04 + mesh_C17 + mesh_C06 + mesh_C15 + mesh_C08 + mesh_C10 + mesh_C14 + mesh_F03 + mesh_C12 + mesh_C19 + mesh_C16 + mesh_C05,790,157,633,383,790.0,ok,,True,0.017287696768671222,0.1314783419699174,1.0174379938460494,0.7863092483146851,1.3165050182739162,0.8953900456132382,,19,19,True,1.0260252205268197,37.82513122962532
ipw_untrimmed,SW1,n_ancestries_replication,approval ~ n_ancestries_replication,790,157,633,383,788.4793855532432,ok,,True,0.0516305718690003,0.06883970726977584,1.0529866677535733,0.9200817307749458,1.2050895973479387,0.45324778072209015,,2,2,True,1.0038901586626625,2.5270647985733463
ipw_untrimmed,SW2,n_ancestries_replication,approval ~ n_ancestries_replication + log_studies,790,157,633,383,788.4793855532432,ok,,True,-0.14424309536154234,0.091023935946306,0.8656772803469343,0.7242296566719648,1.0347507131267606,0.1130408449766365,,3,3,True,1.0051657497156012,6.518029395771478
ipw_untrimmed,SW3,n_ancestries_replication,approval ~ n_ancestries_replication + log_studies + earliest_year_centered,790,157,633,383,788.4793855532432,ok,,True,-0.14503154289202175,0.11642148895287432,0.8649950082362775,0.6885182403603934,1.0867052176889842,0.2128578533387634,,4,4,True,1.0064445865473004,12.895292834601712
ipw_untrimmed,SW4,n_ancestries_replication,approval ~ n_ancestries_replication + log_studies + earliest_year_centered + mesh_C18 + mesh_C20 + mesh_C23 + mesh_C04 + mesh_C17 + mesh_C06 + mesh_C15 + mesh_C08 + mesh_C10 + mesh_C14 + mesh_F03 + mesh_C12 + mesh_C19 + mesh_C16 + mesh_C05,790,157,633,383,788.4793855532432,ok,,True,0.015603884598967086,0.13165552654666987,1.0157262608929098,0.7847138061729169,1.3147466362279723,0.9056552182296176,,19,19,True,1.0260252205268197,37.82513122962532
ipw_trimmed,SW1,n_ancestries_replication,approval ~ n_ancestries_replication,790,157,633,383,789.6388566004618,ok,,True,0.051246029139245336,0.06879819200596203,1.0525818272301886,0.9198028279132604,1.2045282634418282,0.4563475017229657,,2,2,True,1.0038901586626625,2.5270647985733463
ipw_trimmed,SW2,n_ancestries_replication,approval ~ n_ancestries_replication + log_studies,790,157,633,383,789.6388566004618,ok,,True,-0.14415211751649984,0.09101295826398427,0.8657560413831028,0.7243111325334576,1.034822591459642,0.1132247478274413,,3,3,True,1.0051657497156012,6.518029395771478
